id,year,quarter,months,epiweek,area,points,breeding_habitat
1,2018,Q1,Jan-Mar,W1-13,homes,5,Domestic Containers
2,2018,Q1,Jan-Mar,W1-13,homes,4,Flower Pot Plates / Trays
3,2018,Q1,Jan-Mar,W1-13,homes,3,Ornamental Containers
4,2018,Q1,Jan-Mar,W1-13,homes,2,Plants (Hardened soil and plant axils)
5,2018,Q1,Jan-Mar,W1-13,homes,1,Canvas Sheet/ Plastic Sheet
6,2018,Q1,Jan-Mar,W1-13,public,5,Covered Perimeter Drains
7,2018,Q1,Jan-Mar,W1-13,public,4,Discarded Receptacles
8,2018,Q1,Jan-Mar,W1-13,public,3,Gully Traps
9,2018,Q1,Jan-Mar,W1-13,public,2,Scupper Drains of Housing Estates
10,2018,Q1,Jan-Mar,W1-13,public,1,Plants (Hardened soil and plant axils)
11,2018,Q2,Apr-Jun,W14-26,homes,5,Domestic Containers
12,2018,Q2,Apr-Jun,W14-26,homes,4,Flower Pot Plates / Trays
13,2018,Q2,Apr-Jun,W14-26,homes,3,Ornamental Containers
14,2018,Q2,Apr-Jun,W14-26,homes,2,Canvas Sheet/ Plastic Sheet
15,2018,Q2,Apr-Jun,W14-26,homes,1,Toilet Bowls / Cisterns
16,2018,Q2,Apr-Jun,W14-26,public,5,Covered Perimeter Drains
17,2018,Q2,Apr-Jun,W14-26,public,4,Discarded Receptacles
18,2018,Q2,Apr-Jun,W14-26,public,3,Gully Traps
19,2018,Q2,Apr-Jun,W14-26,public,2,Open Perimeter Drains
20,2018,Q2,Apr-Jun,W14-26,public,1,Domestic Containers
21,2018,Q3,Jul-Sep,W27-39,homes,5,Domestic Containers
22,2018,Q3,Jul-Sep,W27-39,homes,4,Flower Pot Plates / Trays
23,2018,Q3,Jul-Sep,W27-39,homes,3,Ornamental Containers
24,2018,Q3,Jul-Sep,W27-39,homes,2,Plants (Hardened soil and plant axils)
25,2018,Q3,Jul-Sep,W27-39,homes,1,Canvas Sheet/ Plastic Sheet
26,2018,Q3,Jul-Sep,W27-39,public,5,Covered Perimeter Drains
27,2018,Q3,Jul-Sep,W27-39,public,4,Discarded Receptacles
28,2018,Q3,Jul-Sep,W27-39,public,3,Gully Traps
29,2018,Q3,Jul-Sep,W27-39,public,2,Covered Carpark Drains
30,2018,Q3,Jul-Sep,W27-39,public,1, Scupper Drains of Housing Estates
31,2018,Q4,Oct-Dec,W40-52,homes,5,Domestic Containers
32,2018,Q4,Oct-Dec,W40-52,homes,4,Flower Pot Plates / Trays
33,2018,Q4,Oct-Dec,W40-52,homes,3,Ornamental Containers
34,2018,Q4,Oct-Dec,W40-52,homes,2,Plants (Hardened soil and plant axils)
35,2018,Q4,Oct-Dec,W40-52,homes,1,Fountains
36,2018,Q4,Oct-Dec,W40-52,public,5,Covered Perimeter Drains
37,2018,Q4,Oct-Dec,W40-52,public,4,Discarded Receptacles
38,2018,Q4,Oct-Dec,W40-52,public,3,Gully Traps
39,2018,Q4,Oct-Dec,W40-52,public,2,Scupper Drains of Housing Estates
40,2018,Q4,Oct-Dec,W40-52,public,1,Plants (Hardened soil and plant axils)
41,2019,Q1,Jan-Mar,W1-13,homes,5,Domestic Containers
42,2019,Q1,Jan-Mar,W1-13,homes,4,Ornamental Containers
43,2019,Q1,Jan-Mar,W1-13,homes,3,Flower Pot Plates / Trays
44,2019,Q1,Jan-Mar,W1-13,homes,2,Toilet Bowls / Cisterns
45,2019,Q1,Jan-Mar,W1-13,homes,1,Plants (Hardened soil and plant axils)
46,2019,Q1,Jan-Mar,W1-13,public,5,Covered Perimeter Drains
47,2019,Q1,Jan-Mar,W1-13,public,4,Gully Traps
48,2019,Q1,Jan-Mar,W1-13,public,3,Discarded Receptacles
49,2019,Q1,Jan-Mar,W1-13,public,2,Covered Carpark Drains
50,2019,Q1,Jan-Mar,W1-13,public,1,Covered Roadside Drains
51,2019,Q2,Apr-Jun,W14-26,homes,5,Domestic Containers
52,2019,Q2,Apr-Jun,W14-26,homes,4,Flower Pot Plates / Trays
