id,year,habitat,points
1,2018,Bins (Litter/Refuse/Bulk),0
2,2018,Canvas/Plastic Sheet,4
3,2018,Covered Drains,22
4,2018,Discarded Receptacles,16
5,2018,Domestic Containers,21
6,2018,Fountains,1
7,2018,Gully Traps,12
8,2018,Inspection Chambers,0
9,2018,Open Drains,7
10,2018,Ornamental Containers,12
11,2018,Plant Pots/Dish/Trays,16
12,2018,Plants (Hardened soil and plant axils),8
13,2018,Toilet Bowls/Cisterns,1
14,2018,Water Fountains,0
15,2019,Bins (Litter/Refuse/Bulk),0
16,2019,Canvas/Plastic Sheet,0
17,2019,Covered Drains,35
18,2019,Discarded Receptacles,10
19,2019,Domestic Containers,14
20,2019,Fountains,0
21,2019,Gully Traps,12
22,2019,Inspection Chambers,0
23,2019,Open Drains,3
24,2019,Ornamental Containers,12
25,2019,Plant Pots/Dish/Trays,16
26,2019,Plants (Hardened soil and plant axils),12
27,2019,Toilet Bowls/Cisterns,6
28,2019,Water Fountains,0
29,2020,Bins (Litter/Refuse/Bulk),0
30,2020,Canvas/Plastic Sheet,0
31,2020,Covered Drains,15
32,2020,Discarded Receptacles,14
33,2020,Domestic Containers,21
34,2020,Fountains,0
35,2020,Gully Traps,14
36,2020,Inspection Chambers,0
37,2020,Open Drains,0
38,2020,Ornamental Containers,14
39,2020,Plant Pots/Dish/Trays,11
40,2020,Plants (Hardened soil and plant axils),20
41,2020,Toilet Bowls/Cisterns,9
42,2020,Water Fountains,1
43,2021,Bins (Litter/Refuse/Bulk),11
44,2021,Canvas/Plastic Sheet,7
45,2021,Covered Drains,13
46,2021,Discarded Receptacles,12
47,2021,Domestic Containers,15
48,2021,Fountains,0
49,2021,Gully Traps,10
50,2021,Inspection Chambers,5
51,2021,Open Drains,9
52,2021,Ornamental Containers,13
53,2021,Plant Pots/Dish/Trays,13
54,2021,Plants (Hardened soil and plant axils),10
55,2021,Toilet Bowls/Cisterns,0
56,2021,Water Fountains,0
57,2022,Bins (Litter/Refuse/Bulk),5
58,2022,Canvas/Plastic Sheet,12
59,2022,Covered Drains,15
60,2022,Discarded Receptacles,12
61,2022,Domestic Containers,20
62,2022,Fountains,0
63,2022,Gully Traps,12
64,2022,Inspection Chambers,0
65,2022,Open Drains,3
66,2022,Ornamental Containers,12
67,2022,Plant Pots/Dish/Trays,13
68,2022,Plants (Hardened soil and plant axils),15
69,2022,Toilet Bowls/Cisterns,1
70,2022,Water Fountains,0
